family,date,month,value,method,n_firms
growth,2025-10-30,2025-10,0.07443585532095495,ICC calculation,3002
growth,2025-11-28,2025-11,0.07227157546386505,ICC calculation,3015
growth,2025-12-31,2025-12,0.07207205851171125,ICC calculation,3014
growth,2026-01-30,2026-01,0.07169115614545538,ICC calculation,2545
growth,2026-02-27,2026-02,0.07824383677333123,ICC calculation,2547
growth,2026-03-31,2026-03,0.08705299604395006,ICC calculation,2577
growth,2026-04-16,2026-04,0.0825184595670443,ICC calculation,2575
ivp_bm,2025-10-30,2025-10,0.06415697734782852,ICC calculation,3002
ivp_bm,2025-11-28,2025-11,0.06648016798710608,ICC calculation,3015
ivp_bm,2025-12-31,2025-12,0.05128515030793647,ICC calculation,3014
ivp_bm,2026-01-30,2026-01,0.04379920598717968,ICC calculation,2545
ivp_bm,2026-02-27,2026-02,0.04258253104764308,ICC calculation,2547
ivp_bm,2026-03-31,2026-03,0.03551502878898988,ICC calculation,2577
ivp_bm,2026-04-16,2026-04,0.03952808119279459,ICC calculation,2575
value,2025-10-30,2025-10,0.13859283266878347,ICC calculation,3002
value,2025-11-28,2025-11,0.13875174345097113,ICC calculation,3015
value,2025-12-31,2025-12,0.12335720881964772,ICC calculation,3014
value,2026-01-30,2026-01,0.11549036213263505,ICC calculation,2545
value,2026-02-27,2026-02,0.1208263678209743,ICC calculation,2547
value,2026-03-31,2026-03,0.12256802483293994,ICC calculation,2577
value,2026-04-16,2026-04,0.1220465407598389,ICC calculation,2575
