sector,vw_icc,ew_icc,n_firms,total_mktcap
Technology,0.0823624429807091,0.09902768161803661,374.0,19275316374575.0
Financial Services,0.09062748386607014,0.12058773418119245,514.0,13437223163259.0
Communication Services,0.07156499592764648,0.12773260347901755,124.0,11051948848229.0
Healthcare,0.09529137682537883,0.10008799214500261,257.0,7194375541863.0
Industrials,0.06923153224287194,0.09018343934789998,383.0,7110957002372.0
Consumer Cyclical,0.09572080679035135,0.11797718556599314,334.0,7090468042763.0
Energy,0.08009713557139081,0.10609810213093882,186.0,4633490194352.0
Consumer Defensive,0.07405173432501502,0.10888992900892568,135.0,3165273087934.0
Basic Materials,0.08034839385062752,0.10859527472255512,166.0,2905669230361.0
Utilities,0.07712505437499305,0.0856401971309796,80.0,1839871609296.0
Real Estate,0.05866394624369024,0.09327920368802778,164.0,1638590236833.0
